Country Code,Variable code,Variable description,Units
AUT,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
AUT,MPEN,"Import penetration, goods and services",Ratio
AUT,MSHA,"Share of value imports of good and services in world imports, USD",ratio
AUT,NLG,"Government net lending, value",National currency
AUT,NLGQ,"Government net lending, as a percentage of GDP",Per cent
AUT,NLGX,"Government primary balance, value",National currency
AUT,NLGXQ,"Government primary balance, as a percentage of GDP",Per cent
AUT,NTR,"Secondary income, net,  balance of payments basis",National currency
AUT,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
AUT,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
AUT,PCG,"Government final consumption expenditure, deflator",Index
AUT,PCOREH,"Core inflation index, harmonised",Index
AUT,PCP,"Private final consumption expenditure, deflator",Index
AUT,PDTY,Labour productivity of the total economy,Index
AUT,PFDD,"Final domestic expenditure, deflator",Index
AUT,PGDP,"Gross domestic product, deflator, market prices",Index
AUT,PIT,"Gross total fixed capital formation, deflator",Index
AUT,PITISK,"Gross capital formation, deflator",Index
AUT,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
AUT,PMGSX,Price of non- commodity imports of goods and services,Index
AUT,PMNW,Price of commodity imports,Index
AUT,PMSH,Shadow price of goods and services imports,Index
AUT,PMSHX,Shadow price of non- commodity goods and services imports,Index
AUT,POP,Total Population,Persons
AUT,PPP,"Purchasing power parity, National currency per USD",Level
AUT,PTDD,"Total domestic expenditure, deflator",Index
AUT,PXC,Competitors' price of goods and services exports,Index
AUT,PXCX,Competitors' price of non- commodity goods and services exports,Index
AUT,PXGS,"Exports of goods and services, deflator, National Accounts basis",Index
AUT,PXGSX,Price of non- commodity exports of goods and services,Index
AUT,PXNW,Price of commodity exports,Index
AUT,RPMGS,Relative price of imported goods and services,Index
AUT,RPXGS,Relative price of exported goods and services,Index
AUT,RSCRP,Productive capital stock scrapping rate,Per Cent
AUT,SAVG,"Government saving (net ), value",National currency
AUT,SAVH,"Net household saving, value",National currency
AUT,SHTGSVD,Share of country's trade expressed in USD volume (2005 prices) in the world trade,Per Cent
AUT,SRATIO,Household and non-profit institutions serving households net saving ratio,Per cent
AUT,SSPG,"Social security benefits paid by general government, value",National currency
AUT,SSRG,"Social security contribution received by general government, value",National currency
AUT,TAXQ,"Taxes and social security contributions, as a percentage of GDP",Per cent
AUT,TDDV,"Total domestic expenditure, volume",National currency
AUT,TEV,"Total expenditure, volume",National currency
AUT,TGSVD,"Goods and services trade volume, USD, 2005 prices",USD
AUT,TIND,"Taxes on production and imports, value",National currency
AUT,TKPG,"Capital Transfers paid and other capital payments, value",National currency
AUT,TKTRG,"Capital tax and transfers receipts, value",National currency
AUT,TOCR,"Other current receipts, general government, value",National currency
AUT,TRPESH,Employees and self-employed contribution to social security,National currency
AUT,TRPTSH,Total employers social contributions,National currency
AUT,TY,"Total direct taxes, value",National currency
AUT,TYB,"Direct taxes on business, value",National currency
AUT,TYH,"Direct taxes on households, value",National currency
AUT,ULC,Unit labour cost in total economy,Index
AUT,ULCDR,"Competitiveness indicator, relative unit labour costs, overall economy",Index
AUT,UN,"Unemployment, level",Persons
AUT,UNR,Unemployment rate,Per cent
AUT,WAGE,"Wages, value",National currency
AUT,WRT,"Wage rate, total economy",National currency
AUT,WSSH,Compensation of employees received by households,National currency
AUT,WSSS,"Compensation of employees, value",National currency
AUT,WSST,"Compensation rate, total economy",National currency
AUT,XGS,"Exports of goods and services, value, National Accounts basis",National currency
AUT,XGSD,"Exports of goods and services, value, National Accounts basis, USD",USD
AUT,XGSV,"Exports of goods and services, volume, National Accounts basis",National currency
AUT,XGSVD,"Exports of goods and services, volume, USD, 2005 prices",USD
AUT,XMKT,"Export market for goods and services, volume, USD, 2005 prices",USD
AUT,XPERF,"Export performance for goods and services, volume",ratio
AUT,XSHA,Share of value exports of good and services in world exports expressed in USD,ratio
AUT,YDH,"Net household disposable income, value",National currency
AUT,YDRH,"Net household disposable income, real",National currency
AUT,YPEPG,"Property income paid by government, value",National currency
AUT,YPEPGX,"Property income paid by government, excluding interest payments, value",National currency
AUT,YPERG,"Property income received by government, value",National currency
AUT,YPERGX,"Property income received by government, excluding interest receipts, value",National currency
AUT,YPG,"Current disbursements, general government, value",National currency
AUT,YPGQ,"Current disbursements, general government, as a percentage of GDP",Per cent
AUT,YPGT,"Total disbursements, general government, value",National currency
AUT,YPGTQ,"Total disbursements, general government, as a percentage of GDP",Per cent
AUT,YPGX,"Current disbursements excluding gross interest payments, general government, value",National currency
AUT,YPH,"Current disbursements of households, value",National currency
AUT,YPOTG,"Other current outlays, general government, value",National currency
AUT,YPOTH,"Other current income payable by households, value",National currency
AUT,YRG,"Current receipts, general government value",National currency
AUT,YRGQ,"Government current receipts, as a percentage of GDP",Per cent
AUT,YRGT,"Total receipts, general government, value",National currency
AUT,YRGTQ,"Total receipts general government, as a percentage of GDP",Per cent
AUT,YRGX,"Current receipts excluding gross interest receipts, general government, value",National currency
